var_norm,n_years,first_year,last_year,years_present,example_name,status
70_consulexter,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,70_consulExter,completa
70_hospdia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,70_hospDia,completa
70_hospdom,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,70_hospDom,completa
70_hospital,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,70_Hospital,completa
70_urgencia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,70_Urgencia,completa
740_subvenciones,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,740_subvenciones,completa
741_otrasubvencion,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,741_otraSubvencion,completa
adigestivo_cmujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aDigestivo_cMujeres,completa
adigestivo_colabmujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aDigestivo_colabMujeres,completa
adigestivo_colabtotal,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aDigestivo_colabTotal,completa
adigestivo_ctotal,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aDigestivo_cTotal,completa
adigestivo_pmujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aDigestivo_pMujeres,completa
adigestivo_ptotal,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aDigestivo_pTotal,completa
administrativos_cmujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,administrativos_cMujeres,completa
administrativos_colabmujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,administrativos_colabMujeres,completa
administrativos_colabtotal,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,administrativos_colabTotal,completa
administrativos_ctotal,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,administrativos_cTotal,completa
administrativos_pmujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,administrativos_pMujeres,completa
administrativos_ptotal,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,administrativos_pTotal,completa
afinales_mintensiva,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,aFinales_mIntensiva,completa
alergologia_mujeres,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,alergologia_mujeres,completa
alergologia_total,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,alergologia_total,completa
altas_acctrafic,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_AccTrafic,completa
altas_asegpriv,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_AsegPriv,completa
altas_convintern,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_convIntern,completa
altas_matepss,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_MATEPSS,completa
altas_mutuafun,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_MutuaFun,completa
altas_otrentipublica,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_otrEntiPublica,completa
altas_otroregim,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_otroRegim,completa
